[FIXES]
;
; Sections:
; O = Nil Fix
; Airway/TERPS
; ABQ Diagram
CAPES N033.17.39.680 W106.04.18.270
CAPRO N033.28.05.000 W103.42.37.770
CAPVU N033.00.10.010 W107.12.56.020
CARGO N033.00.51.020 W114.52.14.360
CARLZ N032.16.00.320 W104.20.18.610
CARMS N035.48.19.090 W112.18.06.810
CARTL N034.45.52.980 W112.00.36.290
CARTY N035.01.24.750 W107.34.20.430
CARZO N034.43.16.900 W109.27.53.740
CASCU N037.12.23.480 W104.20.03.740
CASHE N033.21.56.850 W112.19.57.260
CASIB N033.45.50.870 W112.32.58.970
CASOL N034.32.07.330 W114.22.46.050
CASRO N036.53.34.880 W108.12.08.870
CASTI N035.25.57.640 W110.13.11.050
CATEG N031.50.03.850 W106.04.52.320
CATIG N033.53.40.120 W102.23.52.640
CAUDE N035.06.23.410 W101.29.10.000
CAVAN N033.31.10.250 W112.23.51.990
CAVAY N033.36.45.890 W114.43.30.760
CAVRN N031.49.31.180 W104.00.42.210
CAVSI N033.39.42.350 W101.54.36.560
CAYAL N035.20.32.150 W106.00.36.670
CAYLA N031.40.36.440 W110.01.38.820
CAZZI N032.54.59.520 W114.37.51.570
CBANA N033.17.44.200 W112.38.20.110
CEBBA N036.36.54.590 W103.01.49.670
CEBEM N033.40.23.910 W112.18.00.400
CEBIL N032.00.31.990 W111.13.45.700
CEDAV N034.26.16.160 W103.24.50.960
CEGAP N033.40.54.770 W112.10.50.460
CEGUG N034.22.15.770 W103.18.49.750
CEKDU N032.48.44.780 W114.30.19.240
CEKVU N034.34.51.030 W114.21.51.870
CELAV N036.05.09.880 W105.00.03.060
CELAY N036.34.18.950 W111.22.04.960
CELOS N034.21.52.440 W105.50.20.520
CEMAC N034.53.31.100 W106.42.49.610
CEMOV N036.38.58.400 W105.17.23.110
CEMTU N035.19.45.660 W101.48.30.720
CENUM N034.16.26.440 W102.41.52.270
CEPIB N033.22.41.160 W111.44.36.690
CERID N033.44.22.980 W111.54.21.790
CERIP N035.53.25.600 W101.31.01.210
CERLA N033.25.51.830 W112.02.06.240
CERUN N033.26.22.980 W111.35.37.690
CESAT N033.18.19.390 W112.38.16.420
CESDA N034.47.45.770 W106.39.02.230
CESRU N035.19.48.220 W103.25.16.850
CETGA N033.03.25.000 W114.17.23.000
CETNU N035.15.52.780 W113.55.54.200
CETOR N033.34.32.400 W114.48.57.070
CETOX N032.52.59.470 W107.09.00.040
CEVBA N033.34.39.390 W105.07.30.490
CEVEX N035.03.57.530 W101.30.51.540
CFBKM N032.07.25.800 W106.43.26.770
CFBPJ N031.53.26.770 W106.20.56.510
CFBPL N031.49.43.520 W106.17.17.570
CFBVN N034.07.32.450 W114.29.00.110
CFBVP N031.53.26.680 W106.20.56.760
CFBVQ N031.50.14.460 W106.17.03.650
CFBVR N031.51.19.570 W106.16.59.180
