*SRR_ATS_Approaches             O              O              O              O
                          N032.55.59.312 W105.19.54.598 N032.55.58.366 W105.19.56.250 RVM
                          N032.55.58.366 W105.19.56.250 N032.55.58.025 W105.19.58.206 RVM
                          N032.55.58.025 W105.19.58.206 N032.55.58.341 W105.20.00.168 RVM
                          N032.55.58.341 W105.20.00.168 N032.55.59.266 W105.20.01.837 RVM
                          N032.55.59.266 W105.20.01.837 N032.56.00.659 W105.20.02.959 RVM
                          N032.56.00.659 W105.20.02.959 N032.56.02.309 W105.20.03.363 RVM
                          N032.56.02.309 W105.20.03.363 N032.56.03.963 W105.20.02.988 RVM
                          N032.56.03.963 W105.20.02.988 N032.56.05.370 W105.20.01.891 RVM
                          N032.56.05.370 W105.20.01.891 N032.56.06.316 W105.20.00.239 RVM
                          N032.56.06.316 W105.20.00.239 N032.56.06.657 W105.19.58.283 RVM
                          N032.56.06.657 W105.19.58.283 N032.56.06.341 W105.19.56.321 RVM
                          N032.56.06.341 W105.19.56.321 N032.56.05.416 W105.19.54.652 RVM
                          N032.56.05.416 W105.19.54.652 N032.56.04.023 W105.19.53.530 RVM
                          N032.56.04.023 W105.19.53.530 N032.56.02.373 W105.19.53.126 RVM
                          N032.56.05.671 W105.19.54.724 N032.56.00.730 W105.19.53.506 RVM
                          N032.56.06.980 W105.19.56.300 N032.55.59.733 W105.19.54.671 RVM
                          N032.56.06.973 W105.19.57.474 N032.55.58.736 W105.19.55.836 RVM
                          N032.56.06.963 W105.19.59.038 N032.55.58.396 W105.19.57.397 RVM
                          N032.56.06.293 W105.20.00.597 N032.55.58.386 W105.19.58.962 RVM
                          N032.56.05.626 W105.20.01.765 N032.55.58.709 W105.20.00.139 RVM
                          N032.56.04.299 W105.20.02.927 N032.55.59.689 W105.20.01.712 RVM
                          N033.33.02.581 W105.10.55.033 N033.33.00.927 W105.10.55.413 RVM
                          N033.33.00.927 W105.10.55.413 N033.32.59.521 W105.10.56.520 RVM
                          N033.32.59.521 W105.10.56.520 N033.32.58.577 W105.10.58.186 RVM
                          N033.32.58.577 W105.10.58.186 N033.32.58.239 W105.11.00.156 RVM
                          N033.32.58.239 W105.11.00.156 N033.32.58.557 W105.11.02.131 RVM
                          N033.32.58.557 W105.11.02.131 N033.32.59.484 W105.11.03.810 RVM
                          N033.32.59.484 W105.11.03.810 N033.33.00.879 W105.11.04.937 RVM
                          N033.33.00.879 W105.11.04.937 N033.33.02.528 W105.11.05.341 RVM
                          N033.33.02.528 W105.11.05.341 N033.33.04.182 W105.11.04.961 RVM
                          N033.33.04.182 W105.11.04.961 N033.33.05.588 W105.11.03.854 RVM
                          N033.33.05.588 W105.11.03.854 N033.33.06.532 W105.11.02.188 RVM
                          N033.33.06.532 W105.11.02.188 N033.33.06.870 W105.11.00.218 RVM
                          N033.33.06.870 W105.11.00.218 N033.33.06.552 W105.10.58.243 RVM
                          N033.33.06.552 W105.10.58.243 N033.33.05.625 W105.10.56.564 RVM
